banfield;ARQ;Rigamonti, César;2,700,000;0
banfield;ARQ;Bolgona , Enrique;2,500,000;0
banfield;ARQ;Servio, Gaspar;3,000,000;81
banfield;DEF;Bianchi Arce, N.;3,600,000;72
banfield;DEF;Bettini , Gonzalo;2,400,000;49
banfield;DEF;Segovia, Favio;2,500,000;0
banfield;DEF;Tevez, Nicolás;500,000;0
banfield;DEF;Devaca , José;2,800,000;3
banfield;DEF;Rodríguez, Jorge;1,000,000;11
banfield;DEF;Tagliafico, Nicolás;3,100,000;80
banfield;DEF;Toledo, Gustavo;3,000,000;104
banfield;DEF;Noguera, Fabián;3,400,000;54
banfield;VOL;García, Juan E.;2,500,000;14
banfield;VOL;Bertolo, Nicolás;4,000,000;107
banfield;VOL;Erviti, Walter;4,400,000;117
banfield;VOL;Requena, Jonathan;2,300,000;24
banfield;VOL;Zarif, Omar;2,900,000;20
banfield;VOL;Domingo, Nicolás;3,900,000;90
banfield;VOL;Yeri, Nahuel;2,800,000;56
banfield;VOL;Cazares, Juan;3,700,000;92
banfield;VOL;Farías, Agustín;2,800,000;0
banfield;VOL;Prichoda, Lihué;2,400,000;17
banfield;DEL;Fontana, Agustín;300,000;0
banfield;DEL;Chetti, Leandro;2,400,000;34
banfield;DEL;Terzaghi, Emiliano;3,000,000;52
banfield;DEL;Asenjo, Mauricio;1,600,000;14
banfield;DEL;Noir, Ricardo;3,800,000;113
banfield;DEL;Trinidad, Enzo;700,000;35
banfield;DEL;Salcedo, Santiago;4,000,000;122
banfield;DEL;Villagra, Claudio;2,000,000;0
belgrano;ARQ;Acosta, Lucas M.;300,000;0
belgrano;ARQ;Olave, Juan Carlos;4,700,000;78
belgrano;ARQ;Heredia, Juan Pablo;1,000,000;10
belgrano;DEF;Aveldaño, Lucas;3,900,000;90
belgrano;DEF;Barrios, Pier;2,700,000;82
belgrano;DEF;Alvarez, Federico;300,000;64
belgrano;DEF;Saravia, Renzo;1,800,000;34
belgrano;DEF;Turus, Gastón;3,000,000;10
belgrano;DEF;Ferreyra, Nicolás;500,000;17
belgrano;DEF;Lema, Cristian;2,800,000;85
belgrano;DEF;Soto, Carlos;2,000,000;5
belgrano;VOL;Mansanelli, César;3,400,000;32
belgrano;VOL;Zelarayán, Lucas;2,300,000;131
belgrano;VOL;Velázquez, Jorge;4,600,000;72
belgrano;VOL;Alanis, Gabriel;500,000;4
belgrano;VOL;González, Esteban;3,800,000;53
belgrano;VOL;Cochis, Germán;300,000;0
belgrano;VOL;Farré, Guillermo;4,900,000;87
belgrano;VOL;Parodi, Lucas;2,200,000;20
